CAND_ID,CAND_F_NAME,CAND_L_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,,
H6AZ03112, BOB,STUMP,O,2,REP,0.00,0.00,0.00,0.00,13484.68,13484.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,8.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ08158, DEBBIE,LESKO,I,2,REP,170183.86,71528.56,34280.28,0.00,70840.67,206744.25,0.00,0.00,0.00,0.00,0.00,0.00,60324.15,AZ,8.00,,,,,,36000.00,0,3/31/2019,0,0,,
H2AZ09019, KYRSTEN,SINEMA,I,1,DEM,438806.75,1151.30,154893.79,0.00,171526.59,455439.55,0.00,0.00,0.00,0.00,0.00,0.00,281699.53,AZ,9.00,,,,,,150200.00,0,3/31/2019,11183.5,0,,
H2AZ09027, DAVID,SCHAPIRA,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1464.07,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ09040, GREG,STANTON,I,1,DEM,155680.77,0.00,56825.88,0.00,44385.39,143240.28,0.00,0.00,0.00,0.00,0.00,0.00,92463.68,AZ,9.00,,,,,,53000.00,0,3/31/2019,666,0,,
H8AZ09065, HECTOR MR.,ARAUJO,O,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H0AZ03321, VERNON,PARKER,C,2,REP,0.00,0.00,0.00,0.00,4619.90,4619.90,0.00,0.00,0.00,0.00,0.00,15813.62,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AZ06155, TRAVIS W.,GRANTHAM,O,2,REP,0.00,0.00,45.00,0.00,-6271.01,-6316.01,0.00,0.00,0.00,0.00,0.00,304411.50,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H4AZ09023, ANDREW,WALTER,C,2,REP,0.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AZ09010, DAVID VICTOR,GILES,C,2,REP,20634.27,0.00,20597.32,0.00,0.00,36.95,0.00,20264.27,0.00,0.00,0.00,436334.96,370.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AZ09036, JOHN,AGRA,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ09016, IRINA,BARONESS VON BEHR,O,2,REP,0.00,0.00,0.00,0.00,52.31,52.31,0.00,0.00,0.00,0.00,0.00,19623.99,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ09032, SETH MR.,LEIBSOHN,O,2,REP,0.28,0.00,120.00,0.00,11211.80,11092.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H8CA01257, AUDREY L,DENNEY,C,1,DEM,253567.99,0.00,30024.45,0.00,492.49,224036.03,0.00,0.00,0.00,0.00,0.00,0.00,247825.27,CA,1.00,,,,,,500.00,0,3/31/2019,1300,0,,
H2CA02142, DOUG,LAMALFA,I,2,REP,87130.08,71537.47,23486.46,0.00,28130.95,91774.57,0.00,0.00,0.00,0.00,0.00,7561.98,3100.00,CA,1.00,,,,,,12000.00,0,3/31/2019,0,0,,
H2CA06259, JARED,HUFFMAN,I,1,DEM,73209.71,0.00,84769.68,0.00,820776.44,809216.47,0.00,0.00,0.00,0.00,0.00,1301.50,54886.59,CA,2.00,,,,,,16800.00,0,3/31/2019,0,0,,
H4CA02098, DALE KENNETH,MENSING,C,2,REP,0.00,0.00,118.00,0.00,1637.00,1519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CA,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H0CA10149, JOHN,GARAMENDI,I,1,DEM,121105.77,0.00,99327.38,0.00,724376.40,746154.79,0.00,0.00,0.00,0.00,0.00,0.00,24951.27,CA,3.00,,,,,,63700.00,0,3/31/2019,0,0,,
H4CA03096, DANIEL,LOGUE,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8645.60,0.00,CA,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H6CA03067, CHARLES EUGENE,SCHAUPP,C,2,REP,389.28,0.00,0.00,0.00,6752.56,7141.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CA,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H0CA04167, SEAN COLIN,FRAME,C,1,DEM,30149.00,0.00,12506.65,0.00,1932.38,19574.73,0.00,0.00,0.00,0.00,0.00,1250.00,30149.00,CA,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H8CA04210, JESSICA,MORSE,C,1,DEM,2480.00,0.00,-4780.95,0.00,102177.16,109438.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CA,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H8CA04152, THOMAS,MCCLINTOCK,I,2,REP,217072.33,80340.72,96131.76,0.00,224826.27,345766.84,0.00,0.00,0.00,0.00,0.00,0.00,124391.15,CA,4.00,,,,,,5000.00,0,3/31/2019,0,0,,
H8CA01109, MIKE MR.,THOMPSON,I,1,DEM,228050.09,0.00,376809.95,0.00,1560786.18,1412026.32,0.00,0.00,0.00,0.00,0.00,25545.85,70879.12,CA,5.00,,,,,,154550.00,0,3/31/2019,45,0,,
H6CA05195, DORIS,MATSUI,I,1,DEM,127313.61,0.00,92844.94,0.00,323335.18,357803.85,0.00,0.00,0.00,0.00,0.00,0.00,70277.61,CA,6.00,,,,,,57000.00,0,3/31/2019,0,0,,
H0CA03078, AMERISH,BERA,I,1,DEM,271734.62,0.00,133444.42,0.00,1324713.43,1463003.63,0.00,0.00,0.00,0.00,0.00,272800.00,144234.62,CA,7.00,,,,,,127500.00,0,3/31/2019,5420,5000,,
H0CA11352, ELIZABETH,EMKEN,C,2,REP,0.00,0.00,0.00,0.00,365.71,365.71,0.00,0.00,0.00,0.00,0.00,32000.00,0.00,CA,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H4CA07055, IGOR A,BIRMAN,C,2,REP,58.00,0.00,58.00,0.00,128.82,128.82,0.00,58.00,0.00,0.00,0.00,85022.75,0.00,CA,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H8CA07056, ANDREW,GRANT,C,2,REP,75.54,0.00,2683.00,0.00,16172.85,13565.39,0.00,0.00,0.00,0.00,0.00,2958.07,0.00,CA,7.00,,,,,,0.00,0,3/31/2019,0,0,,
H8CA08112, MARGE,DOYLE,C,1,DEM,10.00,0.00,5126.00,0.00,34597.45,29481.45,0.00,0.00,0.00,0.00,0.00,1420.96,10.00,CA,8.00,,,,,,0.00,0,3/31/2019,0,0,,
H2CA08164, PAUL,COOK,I,2,REP,89741.00,0.00,22269.99,0.00,140257.11,207728.12,0.00,0.00,0.00,0.00,0.00,0.00,21741.00,CA,8.00,,,,,,68000.00,0,3/31/2019,0,0,,
H4CA08111, RODNEY LEE,CONOVER,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5750.00,0.00,CA,8.00,,,,,,0.00,0,3/31/2019,0,0,,
H8CA08120, TIMOTHY M.,DONNELLY,C,2,REP,100.00,0.00,889.50,0.00,826.91,37.41,0.00,0.00,0.00,0.00,0.00,31955.30,100.00,CA,8.00,,,,,,0.00,0,3/31/2019,0,0,,
H4CA11081, GERALD MARK,MCNERNEY,I,1,DEM,120300.88,0.00,69474.47,0.00,168757.82,219584.23,0.00,0.00,0.00,0.00,0.00,2954.15,91170.00,CA,9.00,,,,,,29090.00,0,3/31/2019,0,0,,
H8CA09144, MARLA,LIVENGOOD,C,2,REP,1000.00,0.00,4750.00,0.00,3750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,CA,9.00,,,,,,0.00,0,3/31/2019,0,0,,
H2CA00096, MICHAEL JAMES MR.,BARKLEY,C,1,DEM,0.00,0.00,0.00,0.00,2819.86,2819.86,0.00,0.00,0.00,0.00,0.00,46147.31,0.00,CA,10.00,,,,,,0.00,0,3/31/2019,0,0,,
H4CA10075, MICHAEL RAY,EGGMAN,C,1,DEM,12.61,0.00,4298.39,0.00,4285.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CA,10.00,,,,,,0.00,0,1/29/2019,0,0,,
H8CA10126, JOSH,HARDER,I,1,DEM,873884.34,0.00,103872.18,0.00,20240.66,790252.82,0.00,0.00,0.00,0.00,0.00,0.00,726884.04,CA,10.00,,,,,,144000.00,0,3/31/2019,4421.15,1000,,
H8CA10175, VIRGINIA,MADUENO,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CA,10.00,,,,,,0.00,0,1/17/2019,0,0,,
H0CA19173, JEFF,DENHAM,C,2,REP,7924.09,5317.70,19930.80,940.70,306567.07,294560.36,0.00,0.00,0.00,0.00,0.00,0.00,2600.00,CA,10.00,,,,,,0.00,0,3/31/2019,100,0,,
H8CA10209, TED D II,HOWZE,C,2,REP,31335.00,0.00,20723.90,0.00,309570.65,320181.75,0.00,0.00,0.00,0.00,0.00,273233.67,31335.00,CA,10.00,,,,,,0.00,0,3/31/2019,0,0,,
H0CA10073, MARK,DESAULNIER,I,1,DEM,53739.00,0.00,36082.42,0.00,311530.46,329187.04,0.00,0.00,0.00,0.00,0.00,0.00,25739.00,CA,11.00,,,,,,28000.00,0,3/31/2019,0,0,,
H8CA11090, ALVA,LYTTON,C,1,DEM,0.00,0.00,0.00,0.00,2667.06,2667.06,0.00,0.00,0.00,0.00,0.00,4820.77,0.00,CA,11.00,,,,,,0.00,0,3/31/2019,0,0,,
