lobbyist_name,position
Sean Joyce,"Chief of Staff for Congressman Patrick McHenry, Legislative Director for Congressman Shuster, Communications Director for Congressman Shuster, Military Legislative Advisor for Congressman Shuster, Senior Legislative Assistant for Congressman Shuster"
Edward Hild,"Chief of Staff, Sen. Lisa Murkowski"
Will Le,"Office Manager, Committee on House Administration; Special Assistant, Department of Commerce"
Keith Studdard,"Legislative Director, Rep. Marsha Blackburn"
Dana DeBeaumont,Partner
Patrick Martin,"Legislative Correspondent - Office of Senator Evan Bayh; Special Assistant - Center for Consumer Info and Insurance Oversight, Dept. of HHS"
Robert Freeman,"Deputy Chief of Staff, Senate Commerce; Administrative Assistant Congressman Ed Whitfield"
Alexandra Campau,"Health Policy Advisor and Counsel, House Budget Committee; Health Policy Counsel, Senate Republican Policy Committee; Special Assistant to the President for Health Policy, The White House/Executive Office of the President; Beachhead team member, HHS"
Alexandra Campau,"Health Policy Advisor and Counsel, House Budget Committee; Health Policy Counsel, Senate Republican Policy Committee; Special Assistant to the President for Health Policy, The White House/Executive Office of the President; Beachhead team member - HHS"
Howard Schweitzer,"General Counsel, Export-Import Bank"
David Beaudreau,"Intern, Rep. Sherrod Brown, 2004"
Jeffrey Ziarko,"Senior Economic Policy Advisor, Committee on Ways and Means/Rep. Sander Levin"
Geoff Davis,former Member of Congress
George Rogers,"Assistant to the Speaker for Policy, US House; Counsel and Policy Advisor, US House; General Counsel, Rule Committee; Counsel, Government Reform Committee, US House; Legislative Assistant, US Senate"
George Rogers,"Assistant to the Speaker for Policy, US House; Counsel and Policy Advisor, US House; General Counsel, Rules Committee, US House; Counsel, Government Reform Committee, US House; Legislative Assistant, US Senate"
Geoff Davis,former Member of US House of Representatives
Steve Schultz,"1998 - 2000 Professional Staff Member, Joint Economic Committee"
Brett Heimov,"1999 - 2004 AA, Congressman Jerrold Nadler"
Andrew Quinn,"SA, LA - Rep. Hoyer"
Clifford Roberti,Deputy Chief of Staff - Rep. Randy Neugebauer; Subcommittee Policy Director - House Committee on Financial Services
Chris Matthiesen,Chief of Staff - Rep. Suzanne Kosmas Legislative Director - Rep. Nick Lampson
Douglas Nappi,General Counsel - Senate Committee on Banking
Chris Matthiesen,Chief of Staff - Rep. Suzanne Kosmas; Legislative Director - Rep. Nick Lampson; Staff member for Rep. Nancy Pelosi
Darren Willcox,"Asst. for Policy, Speaker Dennis Hastert; Admin. Asst., Legislative Director, Legislative Asst., Cong. Porter Goss; House Rules Comm. Assoc., Subcommittee Staff Director"
Stephanie Kenann,"Sr. Health Policy Advisor, Senator Ron Wyden"
Charles Ingebretson,"Chief counsel, Subcommittee on Oversight & Investigations (majority), Committee on Energy & Commerce, House of Representatives; Chief of staff, EPA; Associate Administrator, Office of Congressional & Intergovernmental Affairs, EPA; General counsel ("
Michael Goo,"Chief Counsel for Energy and Environment, House Energy and Commerce Committee, (Minority), Senior Policy Advisor/detailee, US Department of Energy, Associate Administrator, US EPA, Staff Director and Chief Counsel, Select Committee on Energy Indepen"
Ronald Eritano,LegCorr.SenLautenberg/LegAsst.RepDoggett
David Totaro,None
Lindsey Wright,None
Adam Sachs,"Counsel, House Veterans' Affairs Committee"
David Crane,"Senior Policy Advisor, Senate Majority/Republican Leader Lott, Professional Staff, Senate Commerce Committee, Chairman John McCain, Leg Director/Leg Asst Senator Dan Coats"
"Melissa ""Missy"" Edwards","Legislative Assistant, Senator Thad Cochran"
Joseph Murray,"Senator Ron Johnson, Rep. Mark Meadows, Republican Study Committee"
Drew Willison,"Chief of Staff, Senate Democratic Leader Harry Reid; US Senate Sergeant at Arms; US Senate Deputy Sergeant at Arms; US Senate Appropriations Committee, Staff Director of the Subcommittee on Energy and Water"
William Hanka,"1997-98: Inv Counsel, House Govt Reform Cmte; 1995-97: Leg Dir, Rep. Nethercutt; 1989-93: Dep Dir Leg Affairs, Vice President Quayle; 1987-89: Staff Asst, Senate Labor Subcmte."
Justin Rzepka,​Leg. Aide Sen. Ensign
Erskine Wells,Dep COS Sen. Wicker; COS Rep. Palazzo; Leg Asst Sen Wicker
Andrew Lewin,"Legislative Assistant/Director, Rep. Dennis Moore / Legislative Assistant/Director, Rep. Max Sandlin"
Joel Riethmiller,"Deputy Chief of Staff, Rep. Baron Hill 
Part-Time Employee, Rep. John Carney"
Brian McLaughlin,"Research Assistant, Senate Homeland Sec. Comm. 
Research Asst., Sen. Richard Durbin"
Patrick Currier,"Sr. Energy Counsel, House Committee on Energy & Commerce"
Mark Murray,"Professional Staff, House Committee Office"
Luis Baco,Chief of Staff to Rep. Jenniffer Gonzalez-Colon (R-PR) - Jan. 2017 - Dec. 2018.  Chief of Staff to Rep. Luis G. Fortuno (R-PR) - Jan. 2005 - Dec. 2007. Deputy Chief of Staff / LD to Rep. Carlos Romero-Barcelo (D-PR) - Feb. 1993 - May 1997.
Surya Gunasekara,Chief of Staff and Tax Counsel - Rep. James B. Renacci May 2015 - Aug. 2017.
David Stratton Edwards,Staff Assistant for Rep. John Sullivan Nov. 2003 - Aug. 2006.  Legislative Counsel for Rep. Tom Cole Aug. 2010 - Mar. 2015
Andrew Woelfling,"Deputy Director & Acting Director of the Office of Legislative Affairs, Federal Communications Commission, 2014-2015"
Mark Murray,"Professional Staff, House Committee"
Sudafi Henry,Legislative Director for Rep. Major Owens; Legislative Director for Rep. Emanuel Cleaver; Counsel & Sr. Policy Advisor for Rep. Steny Hoyer; Asst. and Dir. of Legislative Affairs for VP Joe Biden
Hans Klingler,"U.S. House Chief of Staff (2010-2015), U.S. Senate Regional Director
(1995-1997)"
Randy DeValk,"Counselor to Secretary of Treasury, US Department of the Treasury; Acting Deputy Undersecretary for Legislative Affairs, US Department of the Treasury; Counselor to the White House Office of Legislative Affairs, White House;"
Randy DeValk,"Deputy Chief of Staff, United States Senate Democratic Leader Harry Reid; Legislative Policy Director, United States Senate Democratic Leader Harry Reid; Senior Legislative Assistant, US Senate Democratic Leader Tom Daschle."
Brian Gaston,"Member Services Director, Republican Conference Committee, Chairman Dick Armey; Republican Conference Committee, Chairman John Boehner; Policy Director, House Majority Leader Dick Armey;
Policy Director, House Majority Whip Roy Blunt;"
Brian Gaston,"Chief of Staff, House Majority Whip Roy Blunt; Leadership Advisor, Rep. Roy Blunt"
Catharine Ransom,"Senior Policy Advisor, Senator Bob Graham; Professional Staff and Senior Policy Advisor, Senate Environment and Public Works Committee; Sr. Climate and Environmental Advisor, Senator Max Baucus"
Paul Poteet,"Senior Policy Advisor and Tax and Trade Counsel, Sen. John Thune; Republican Staff Director, Finance Subcommittee on International Trade, Customs and Global Competitiveness; Senior Policy Advisor, Rep. Wally Herger;"
Paul Poteet,"Legislative Correspondent, Rep. Wally Herger; Staff Assistant, Rep. Wally Herger; Staff Assistant, Sen. Rick Santorum; Intern, Rep. Richard Baker"
Nick Sutter,"Professional Staff Member, Senate Energy Committee; Professional Staff Member, Senate Small Business Committee; Legislative Correspondent, Senator Maria Cantwell; Intern, Senate Rules Committee"
Matthew Dennis,"Communications Director, House Appropriations Committee"
Tyson Redpath,Legislative Assistant to Rep. John Boehner
Andrew Harker,House Agriculture Committee Intern
Mike Copher,Former Staff Director House VA Committee and COS to member personal office
Mike Copher,Former Staff Director House VA Committee and COS to personal office
Jack S. Deuser,"Ch. of Staff, U.S. Sen. Jim Bunning: Leg. Dir., U.S. Sen. Jim Bunning"
Robert Hickmott,"Counselor to the Secretary, HUD"
David Wilkins,Ambassador to Canada (2005-2009)
David Vitter,"US Senator, 2005-2017
US Representative, 1999-2005
Member, Louisiana House of Representatives (not federal), 1992-1999"
Alexander Silbey,"Senior Policy Advisor, Office of Majority Whip James E. Clyburn"
Alexander Silbey,"Senior Policy Advisor, office of the House Majority Whip"
Raissa Downs,"Prin. Dep. Asst. Sec. for Leg. - HHS; Dep. Asst. Sec. for Leg. - HHS; Staff Dir., Sub. Cmte. on Employment, Sen. HELP Cmte."
Jennifer Young,"Asst. Sec. for Leg. - HHS; Dep. Asst. Sec. for Leg. - HHS; Cmte. Staff, House Cmte. on Ways and Means; Cmte. Staff, Sen. Cmte. on Finance"
Michelle Easton,"Chief Health Counsel, Sen. Cmte. on Finance; Staff Dir., Senate Aging Cmte.; Leg. Asst., Congressman Billy Tauzin"
Elizabeth Murray,"Senior Policy Advisor, Democratic Whip Steny Hoyer; Legislative Asst. for Rep. Mike Thompson, Rep. Bob Matsui, and Senator Bob Graham"
Charlotte Ivancic,"Leg. Counsel, Sen. Jim DeMint; Health Counsel, Maj. Leader Bill Frist; Counsel and Budget Analyst, House Budget Cmte.; Asst. to the Speaker for Policy, Speaker John Boehner"
Pamela Smith,"Leg. Dir., Sen. Tom Harkin; Dep. Staff Dir., Senate HELP Cmte; Staff Dir., Senate HELP Cmte; Counselor to the Asst. AG, Civil Div., Dept of Justice; Spec Counsel, Ofc of Leg. Affairs, Dept of Justice; Counsel and LA, Senator Carol Moseley-Braun"
Emily Murry,"Staff Dir., Sub. Cmte. on Health, W&M Cmte; Sr. Policy Advisor, Majority Leader McCarthy; Policy Advisor, Majority Whip McCarthy; Professional Staff, Republican Study Cmte.; Leg. Aid, Rep. Ken Calvert; Leg. Asst., Rep. Tom Price"
Kyle Ruckert,"Chief of Staff, Senator Vitter, 2004-2015; Leg. Dir. Senator Vitter, 1999-2003; Leg Assistant, Congressman Thornberry,  1997-1999."
Pamela Bondi,"Member, President's Commission on Combating Drug Addiction and the Opioid Crisis (2017). Member, Presidential Transition Team (2016-2017)."
McKie Campbell,Managing Partner
Kyle Oliver,Principal
Jason Matthews,Principal
Catherine Finley,"Staff Director, Senate Special Aging Committee; Senior Health Policy Advisor, Sen. Smith; Legislative Asst, Sen. Snowe"
Duane Gibson,"LA Senator Stevens, Counsel Committee on Resources, Staff Director, Subcommittee on Highways and Transit"
Cheryl Jaeger,"Shared  employee, Ofc of the Speaker & Ofc of VA 07; Sr Policy Adv, Maj Leader, Rep. Cantor; Sr Policy Adv, Republican Whip, Rep. Cantor; Sr Policy Adv, Majority Whip, Rep. Blunt; Prof Staff House Committee on E & C; 
Sr LA to Rep. Cox"
Susan Hirschmann,"COS, Rep.Van Hilleary and Majority Whip"
Christopher Wilcox,"Regional Staff Asst & Staff Asst, Sen. Moynihan ;LA, Leg Counsel, LD & Counsel, Rep. Arcuri; LD & Counsel, Rep. Demings"
Barry Lefkowitz,President
Shane Skelton,"Legislative Counsel, Rep. Robert E Latta
Counsel & Policy Advisor, House Committee on the Budget"
Jennifer Fogel-Bublick,"Counsel, Senate Banking Committee; ​Presidential Management Fellow, HUD."
C. Towner French,"Staff, House Committee on Rules; Chief of Staff, Rep. Pete Sessions; Staff, House Committee on Homeland Security; Staff, Rep. Lincoln Diaz-Balart; Staff, Rep. Judy Biggert."
Gregg Hartley,Chief of Staff Rep. Blunt
Carlyle Thorsen,"General Counsel, Rep. Tom DeLay; Deputy Asst. Attorney General, Dept. of Justice; Counsel, House Judiciary Committee; Legislative Counsel, Rep. McCollum and LoBiondo"
James French,"Counsel, House Judiciary Committee"
Kirk Blalock,"Confidential Assistant to the Sec US Dept of Education, Special Assistant to the President, Deputy Director of Public Liaison, The White House"
Kirsten Chadwick,Special Assistant to the President for Legislative Affairs
Mike Chappell,"Press Aide/Office Manager to Rep. Roger Wicker, Deputy Chief of Staff, Rep. Pickering, Special Projects Director, Rep. Pickering"
Aleix Jarvis,"Legislative Director, Senator Lindsey Graham, Legislative Director, Congressman Lindsey Graham, Legislative Assistant, Congressman Lindsey Graham, Staff Assistant, Congressman Charles Taylor"
Kate Hull,"Staff Director for Senate HELP & Subcommittee on Aging, Sr. Legislative Assistant, Senator Tim Hutchinson, Legislative Staff, Senator Bill Cohen"
Billy Piper,"Special Asst., Sen. McConnell, Legislative Correspondent, Sen. McConnell, Legislative Aide, Sen. McConnell, Legislative Asst, Sen. McConnell, Appropriations Coordinator, Sen. McConnell, Sr. Legislative Asst, Sen. McConnell, Chief of Staff, Sen. McCon"
Tyler Stephens,"Staff Assistant,Senator Isakson, Legislative Correspondent,Senator Chambliss, Legislative Assistant,Senator Chambliss, Professional Staff Member,Senate Select Committee on Intelligence, Senior Policy Advisor,Senate Select Committee on Intelligence"
Eric Zulkosky,"Director of Member Services, Majority Whip Steve Scalise, LD, Rep. Scalise, LA, Rep. Scalise, LA, Sen. Johanns, LC, Sen. Johanns, LC Sen. Dole, Mail Manager, Sen. Dole, Staff Assistant, Sen. Dole"
Robert Walker,"Former Member, US House of Representatives"
Laura Uttley,"Internship, Office of Senator Jack Reed, Jan 2010 through April 2010"
Francis Tagmire,"VP, Member Relations, Legal & Marketing"
Thomas Heinemann,Federal Relations
Jason Gleason,"Chief of Staff/Legislative Director, Rep. John Sarbanes; Legislative Director/Legislative Asst/Legislative Correspondent/Staff Asst, Sen. Paul Sarbanes"
Hunter Moorhead,"Policy Advisor, Sen. Cochran; Special Asst, National Economic Council; Prof. Staff, Senate Approps Comm; LA, Sen. Cochran; LA/Subcomm Staff Dir, House Ag Comm; LA, Rep. Parker"
Ben McMakin,"Legislative Director, Office of Sen. Patty Murray"
Katherine Dapper,"Staff Assistant, Senator Patty Murray"
Wally Burnett,"Clerk, Senate Appropriations Committee"
Scott Brenner,"Chief of External Affairs, Sci & Tech Dir, DHS; Assoc Administrator External Affairs, NHTSA; Assoc Administrator Public Affairs, FAA; Director of Communications, House Transportation & Infrastructure Committee"
Shay Hancock,"Military Legislative Assistant, Sen. Murray; Legislative Assistant, Rep. Smith"
Marc Numedahl,"Legislative Director, Rep. Loebsack; Military Legislative Assistant, Rep. Larsen"
Robert Livingston,Fmr. Cong. US House
J. Allen Martin,"Fmr. COS, Cong. Livingston"
Paul Cambon,Fmr. Leg. Dir. Cong. Livingston
Brian Glackin,"Fellow, Sen. Cochran"
James Gauthier,"Fmr Staff, Sen. Gregg"
Dan McFaul,LD to Cong. Scarborough. CoS Cong. Miller/Gaetz.
Dan McFaul,LD to Cong. Scarborough. CoS Cong. Miller/Gaetz
Jack Fields,Former Member of Congress
Lisa Rulli,"Former staffer, Committee on Merchant Marine & Fisheries; Natural Resources"
Jocelyn Hong,"Former aide, Senator Glenn and Cong. Eckert"
Billy Wynne,"Health Policy Counsel, Senate Finance Committee"
Geoff Werth,"Rep. Bart Stupak, Senior Legislative Assistant; Minority Leader Dick Gephardt, Policy Advisor"
Mike Copher,Former staff director House VA committee and chief of staff members personal office
Dennis Potter,"Staff Asst/LC, Senator Gramm"
Scott Aliferis,"Legislative Director, Rep. Upton"
Steven Valentine,"Deputy Assistant Attorney General, DOJ; General Counsel/LD, Senator Smith"
Matt Hill,Sen. Gordon H. Smith
John Ray,"Legislative Assistant, Rep. Mike Kelly"
Jonathan Becker,"Chief of Staff, Senator Amy Klobuchar (2010-13); Chief Counsel, Senator Amy Klobuchar (2007-09)"
Randy Forbes,U.S. Congressman (2001 - 2017)
Albert Wynn,U.S. Congressman (92-08)
Gregory Noll,"Advance Associate, Executive Office of the President (2016-2017)"
Robert Walker,"Former Member, US House of Represenatives"
John Ladd,"Chief Counsel, House Judiciary Committee"
Leighanna Comstock,"Staff Assistant and Press Secretary, Congressman Dave Reichert"
Kate Eltrich,"Associate Director for Legislative Affairs, OMB; Clerk/Professional Staff, Senate Appropriations Committee; Legislative Assistant, OMB"
Daniel Muroff,"Staff, Cong. Kika de la Garza; Legislative Assistant, Cong. Jim McGovern; Chief of Staff, Cong. Mike Capuano; Special Asst., Cong. Joe Hoeffel"
Steve Schultz,"1998-2000, Professional Staff Member, Joint Economic Committee"
Brett Heimov,"1999-2004 AA, Rep. Jerrold Nadler (D-NY)"
John Anderson,"Senior Policy Advisor, Senator Crapo; Legislative Assistant, Representative Metcalf."
Tom Koonce,"Legislative Director, Rep. Brad Miller; Legislative Assistant, Rep. Stephen Neal."
Jared Sawyer,"Deputy Assistant Secretary, Treasury Department; Senior Counsel, Senate Banking Committee; Professional Staff Member, House Financial Services Committee."
Mitchell Feuer,"Counsel, Senate Banking Committee."
Jodie Curtis,"Deputy Chief of Staff, U.S. Representative Thomas M. Barrett, January 1997 - July 1999"
Justin Rubin,"Former Special Assistant to the ASA (M&RA) and Deputy Under Secretary of the Army, Department of the Army (2010-2015)"
John Thomas,"Former Chief of Staff, Cong. Scott W. Taylor, (2016-2018)"
Beau Schuyler,"LD-Cong. John Tanner, LD-Cong. Mike McIntyre"
Caitlin Berni,Scheduler and Legislative Assistant - Congressman Steve Scalise (LA) - 2008-2010
Steven Elmendorf,"​Executive Assistant, Sen. Adams; Administrative Assistant, Rep. Eckart; Administrative Assistant, House Majority Leader; Deputy Chief of Staff and Chief of Staff, House Minority Leader"
Jimmy Ryan,"LaFollette Law Fellow, S. Jud Cmte, S/C on Juv Jus; Legal Extern, H. Jud Cmte, Subcmte Crime/Crim Jus; Legal Counsel, Sen. Reid; Leg Dir. & General Counsel, Sen. Reid; Chief Counsel, Flr Pol. Dir., Asst. Dem Ldr/Whip"
Pat Boulisman,"​​Professional Staff, Senate Finance; Acting Chief, Healthcare, Senate Finance; Professional Staff, Health Senate Finance; ​Leg Asst., Senator Baucus"
Barry LaSala,"Counsel, Senate Small Business Committee"
Kristi Kennedy,"​​Leg Counsel, Counsel, and Legislative Director, Sen. Sarbanes"
Stacey Alexander,"Chief of Staff, Rep. Matheson"
Jamie Wall,Legislative Assistant - Sen. Roy Blunt (2011 - 2013) Legislative Assistant - Sen. Kit Bond (2010 - 2011) Legislative Correspondent - Sen. Kit Bond (2009 - 2010) Staff Assistant - Sen. Kit Bond (2008 - 2009)
Shanti Stanton,"Staff Assistant, Special Assistant, Floor Assistant, Democratic Leaders Office"
Steven Elmendorf,"Executive Assistant, Sen. Adams; Administrative Assistant, Rep. Eckart; Administrative Assistant, House Majority Leader; Deputy Chief of Staff and Chief of Staff, House Minority Leader"
Pat Bousliman,"Professional Staff, Senate Finance; Acting Chief, Healthcare, Senate Finance; Professional Staff, Health Senate Finance; Leg Asst., Senator Baucus"
Kristi Kennedy,"Leg Counsel, Counsel, and Legislative Director, Sen. Sarbanes"
Phil Gingrey,United States Congressman 11th District of Georgia
Jim Twaddell,"Legislative Aide and Deputy Communications Director, Senator Arlen Specter April 1998 - January 2002"
Timothy Hannegan,U.S. General Accounting Office
Jerr Rosenbaum,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode"
Christina McGarry,"Legislative Assistant / Scheduler, Rep. Mario Diaz-Balart"
Alex Vogel,"Former Chief Counsel, Senate Majority Leader Bill Frist"
Brian Johnson,"Former Head of Tax, American Petroleum Institute"
Michael Spira,Chief of Staff - Rep. McCarthy (D-NY); Deputy Chief of Staff - Rep. Perlmutter (D-CO)
Michelle Seger,"Legislative Counsel, Rep. Mooney (R-WV); Legal Staff, Senate Judiciary Committee (Grassley)"
Natascha Cumberlidge,"Senior Legislative Assistant, Rep. John Tierney (D-MA)"
Olivia Neistat,"Legislative Intern, Rep. John Larson (D-CT)"
Jeff Forbes,"Staff Director, Senate Finance Committee; Chief of Staff, Senator Max
Baucus; Deputy Asst., Special Asst., Deputy Director EOP."
Jay Driscoll,"Legislative Assistant, Max Baucus, 2001-2004."
Jeff Strunk,"Deputy Floor Director, House Speaker Boehner  Floor Assistant, House
Speaker Boehner  Legislative Assistant, John Boehner  Staff Member,
Pat Tiberi"
Derrick White,"Deputy Communications Director, Senator Orrin Hatch"
Adrienne Schweer,"Chief of Protocol, Office of the Secretary of Defense  Senior Aide and
Director of Scheduling, Senator Chuck Hagel  Staff Assistant, Senator
Chuck Hagel"
Ryan Welch,"Legislative Director, Senator Richard Shelby  Legislative Assistant,
Senator Richard Shelby  Legislative Correspondent, Senator Richard
Shelby"
Jeff Sadosky,"Communications Director, Senator Rob Portman  Communications
Director, Senator Kay Bailey Hutchison  Deputy Press Secretary, Senator
Mike DeWine"
Rick Murphy,"Chief of Staff, Senator Kelly Ayotte, April 14 - Jan. 17"
Francesca McCrary,"Legislative Assistant, Elijah Cummings (2016-2017); Professional Staff,
House Oversight Reform Committee (2016-2016)"
Libby Greer,"Chief of Staff, Rep. Allen Boyd"
Rachel Miller,"Legislative Assistant, Senator Dianne Feinstein  Legislative Assistant
Rep. Elliot Engel"
Dan Tate,"Special Assistant to the President Clinton for Legislative Affairs 
Deputy Assistant Secretary of Energy  Legislative Director, Rep. W.J. Billy Tauzin"
Jeff Strunk,"Deputy Floor Director, House Speaker Boehner 
Floor Assistant, House Speaker Boehner 
Legislative Assistant, John Boehner 
Staff Member, Pat Tiberi"
Craig Felner,"Legislative Assistant, Sen. Kay Bailey Hutchison; Associate Director, White House Office of Cabinet Affairs."
Michael Merola,"Deputy CoS, Sen. Torricelli"
Nancy Fox,"Staff Director House Appropriations Committee, Chief of Staff Rep. Rodney Frelinghuysen (NJ), Scheduler Rep. Marge Roukema (NJ), Scheduler Rep. Silvio O. Conte (MA)"
Rachel Miller,"Legislative Assistant, Senator Dianne Feinstein; Legislative Assistant
Rep. Elliot Engel"
Francesca McCrary,"Legislative Assistant, Elijah Cummings (2016-2017); Professional Staff, House Oversight Reform Committee (2016-2016)"
Cindy Brown,"Leg Assistant, Rep. Stupak, 1993-1994
Leg Director, Rep. Kind, 1999-2002
Chief of Staff, Rep. Kind, 2003-2009"
Michael S Scrivner,"Chief of Staff, Hon. Norman F. Lent"
Peter A Leon,"Legislative Director, Hon. Eliot Engel"
Ryan Welch,"Legislative Director, Senator Richard Shelby; Legislative Assistant,
Senator Richard Shelby; Legislative Correspondent, Senator Richard
Shelby."
Derrick White,"Deputy Press Secretary, Senator Orrin Hatch"
Jeff Sadosky,"Communications Director, Senator Rob Portman, Communications
Director, Senator Kay Bailey Hutchison, Deputy Press Secretary, Senator
Mike DeWine"
Andrew Barbour,"Dep. Asst. USTR for Cong. Affairs, USTR"
Jack S. Deuser,"Ch. of Staff, U.S. Sen. Jim Bunning; Leg. Dir., U.S. Sen. Jim Bunning"
Trevor Kolego,"Leg. Assist, Rep. Chris Cannon; Leg. Director, Rep. Jon Porter; Manager of Member Services, Leader John Boehner; Director of Member Services, Speaker John Boehner"
Beau Schuyler,"LD -Cong. Tanner, LD-Cong. McIntyre"
Brian Darling,United States Senate last served until Feb. 2015 with Sen. Rand Paul
Brian Darling,With Sen. Rand Paul until 2015
Beau Rothschild,With US House of Representatives to 2015
David Quinalty,"Policy Director, Deputy Staff Director, Senior Professional Staff, Professional Staff - Senate Commerce, Science and Transportation Committee; Legislative Assistant, Legislative Correspondent, Special Assistant - Sen. John Ensign"
Stephanie Kennan,"Sr. Health Policy Advisor, Senator Ron Wyden"
Todd Womack,"Chief of Staff, Senator Bob Corker & Staff Director, Senate Committee on Foreign Relations; Acting Chief of Staff/ State Director/ Transition Director, Senator Bob Corker"
Brent Wiles,"State Director, Senator Bob Corker; Professional Staff, Senate Committee on Appropriations; Legislative Assistant & Projects Assistant/ Correspondence Director/ Field Representative/ Legislative Correspondent, Senator Lamar Alexander"
John Goetz,"Legislative Aide/ Legislative Correspondent/ Special Projects Coordinator/ Constituent Services Representative, Senator Bob Corker"
Justin Perkins,"Staff Assistant - Senate Committee on Rules and Administration, 08-10"
Keith Nelson,"Assoc. Director, Office of Legislative Affairs, Office of National Drug Control Policy 06-08; Principal Deputy Assistant Attorney General, Office of Legislative Affairs, US Dept. of Justice 08-09; Legislative Assistant, Senator Pete Domenici 03-07"
Colin Hayes,"Staff Director, U.S. Senate Committee on Energy & Natural Resources"
Jeffrey Ziarko,"Senior Economic Policy Advisor to Rep. Sander Levin, House Ways & Means Committee"
Brent Heberlee,"Legislative Asst and Director, Sen. Richard Bryan"
Eugenia Edwards Pierson,House Energy and Commerce Committee (2001-05)
Kristine Blackwood,"Deputy Dir. for Cong. Oversight, HHS (2010-15); Chief Counsel, Senate Aging (09-10); Investigative Counsel, House E&C (07-08); Attorney-Advisor, DOJ Leg Affairs (05-07); Healthcare Fraud Coordinator, DOJ (03-05); AUSA, Central District CA (94-03)"
Pari Mody,"Intern, HHS Office of General Counsel Public Health (2013)"
Gordon Taylor,"Chief of Staff/ Legislative Director/ Counsel, Rep. Chris John"
Amy Andryszak,"Chief of Staff, Rep. Jim Matheson"
Conrad Lass,"Chief of Staff/ Special Assistant, Bureau of Land Management"
Dean Aguillen,"Sr. Advisor/ Director Member Services/ Floor Asst, Rep. Pelosi; Director Intergovt Affairs/ COS Cong. Affairs/ Special Asst, Labor Dept; LA, Rep. Sandlin"
Moses Mercado,"Deputy Chief of Staff, Democratic Leader Gephardt"
Karissa Willhite,"Dep. Chief of Staff, Sen. Menendez; Dep. Exec Director/ Policy Director, House Democratic Caucus; Sr. LA, Rep. Menendez"
Beau Schuyler,"LD - Cong. Tanner, LD - Cong, McIntyre"
Beau Schuyler,"LD- Cong. Tanner, LD - Cong. McIntyre"
Beau Schuyler,"LD-Cong. Tanner, LD-Cong. McIntyre"
Mike McKay,"Sr. Advisor, Rep. Greg Meeks (D-NY)"
Lavita Strickland LeGrys,"DHS-Dir/Office Leg. Affairs, Sr. Counselor/DHS Chief Procurement Officer, Sr. Adv./ Assist. Sec. Private Sector; TSA-Assist. Admin. Leg. Affairs, SBA-Cong. & Public Liaison; Sen. Feinstein (D-CA)-Jud. Counsel; Jordan Immigration Comm'n-Legal Counsel"
Sherry Widicus,"Legislative Director, Rep. Ron Kind"
Heather Podesta,"Counsel, Representative Robert Matsui (2003);
Counsel, Representative Earl Pomeroy (2002-2003);
Legislative Fellow, Senator Bill Bradley (1993-1994);
Research Assistant, Congressional Budget Office (1992)"
